1,ASMR,"I experience ASMR as an intense tingling sensation primarily in my scalp and neck, triggered by specific sounds or visuals like whispers, tapping and scratching.",1
2,Clay,I like to fidget with clay because of the tactile sensations it creates in my hands,1
4,Interactive story-line games,"Sometimes when I am really engaged and focused on playing an interactive story-line game, I tend to bite on my fingers or nails as a stim. ",1
5,Imaginary air calligraphy,Imaginary air calligraphy is a stim that involves moving one's finger in the air as if they are writing. It's like writing something in the invisible air.,1
6,Vigorous leg shaking,"When I am anxious or overwhelmed, I shake my legs vigorously to release the excess energy.",1
7,Random vigorous unruly dancing,"I perform random vigorous and unruly dancing, which mostly involves moving my limbs and hips quickly in different directions.",1
8,Leg shaking,Leg shaking,1
9,Rolling a pen around,Rolling a pen around,1
10,Cracking knuckles,"When in a stimulating or exciting situation, I crack my knuckles repeatedly",1
11,Tapping feet,"When I stim by tapping my feet, it's usually in bursts of rhythmically consistent movements. I feel a sense of release through my body when I engage in this form of stimming.",1
12,Fidgeting hands,I usually fidget my hands by tapping my fingers or by rolling a pen between my fingers,1
13,Tapping nails on hard surfaces,I tap my nails on hard surfaces in a rhythmic pattern to create a sound that is pleasing to me.,1
14,Biting nails,Biting my nails is what I do as a stim. It helps me stay grounded and feel better.,2
15,Following a rhythmic pattern with fingers,"When I am feeling anxious, I tend to follow a rhythmic pattern with my fingers",1
16,Snapping fingers,Snapping my fingers quickly by hitting the tips of my fingers against my palm repeatedly,1
17,Hugging self,I often hug myself by wrapping my arms around my torso and pressing firmly. Sometimes I also like to rock back and forth while doing this.,1
18,Popping joints,"I often pop my joints throughout the day, whether it's cracking my knuckles or my neck. It's a way to release tension and anxiety for me.",2
19,Fidgeting,Fidgeting involves small movements of hands or legs to alleviate restlessness and anxiety.,1
20,Rubbing feet together excessively,I rub my feet together repetitively,1
21,Picking at sores,"I have a habit of picking at sores on my skin, especially when I'm anxious or stressed.",2
22,Pulling out body hair,I have a habit of pulling out body hair when I'm anxious or need to focus. It's usually from my legs or arms.,2
23,Stress ball squeezing,I squeeze a stress ball in my hand as it helps me release the energy and relax my muscles.,0
24,Chewing gum,Chewing gum helps me relieve my anxiety and fidgeting tendencies.,1
25,Swinging legs,"When I am feeling stressed, I swing my legs back and forth while sitting",1
26,Tapping fingers,"I tend to repeatedly tap my fingers on any nearby surface, sometimes to rhythm or beat of a song or just as a way to release nervous energy.",1
27,Fidget spinner,I use a fidget spinner to stim. It has three prongs with a ball bearing in the center that allows it to spin. I enjoy the visual and tactile stimulation it provides.,1
28,Knitting,Knitting helps me feel more relaxed and focused,1
29,Stretching,Stretching helps me feel grounded and in control of my body,0
30,Humming,Humming helps me regulate my thoughts and emotions. I usually do it when I am anxious or overwhelmed,1
31,Rubbing hands,"I rub my hands together quickly in a rhythmic pattern, alternating the pressure between my palms",0
32,Deep pressure hugs,I use deep pressure hugs to stimulate my sense of touch.,0
33,Spinning objects,"When I am anxious or nervous, spinning objects is a helpful stim for me. I usually find objects like pens or rings to spin around my fingers. ",1
34,Tapping objects,Tapping objects,1
35,Repeating words or phrases,I repeat words or phrases to calm myself down or stay focused,1
36,Juggling,I enjoy juggling different objects and the movement of my hands when doing so. It helps me focus better and calm down when I'm feeling overwhelmed.,0
37,Shuffling cards,"When I'm shuffling cards, I like the sound it makes and the feel of the cards in my hands.",1
38,Playing with a fidget cube,"I enjoy playing with different sides of the cube, clicking the buttons, spinning the gears and rolling the ball. It helps me feel grounded and releases excess energy.",1
39,Rocking back and forth,"I rock back and forth while seated or standing, with my weight shifting between my toes and heels.",1
40,Flipping pages,Flipping pages of a book or magazine to feel the texture and sound of the paper.,1
41,Listening to repetitive music,"When I listen to repetitive music, I tend to rock back and forth while focusing on the beat",1
42,Squeezing stress toys,I squeeze different kinds of stress toys to activate my vestibular system and calm down my senses,1
43,Pacing,"When I'm stimming by pacing, I tend to walk back and forth in a pattern for a while until I feel relief",1
44,Tracing patterns,Tracing patterns,1
45,Drumming fingers,Drumming fingers is a repetitive movement of drumming one's fingers either on a surface or in the air.,1
46,Doodling,Doodling is a stimming mechanism where I create random sketches while focusing on an activity. ,1
47,Whistling,"When I stim with whistling, I purse my lips and exhale forcefully to create a sound. I usually whistle a tune or a song that I enjoy. ",1
48,Stimming with hair,Stroking or twisting hair with fingers or hands,1
49,Tapping on surfaces,"When I'm stressed, I tend to tap on any nearby surface with my fingers or a pen that I have in hand. It has become an unconscious habit now and helps me calm down a bit.",1
50,Stretching hands,Stretching hands,0
51,Using a fidget spinner,When I use a fidget spinner I hold it between my thumb and forefinger and spin it. It is satisfying to see it spin fast and create a whirl of movement.,1
52,Bouncing a ball,Bouncing a ball,1
53,Shaking leg,I shake my leg rapidly up and down repeatedly,1
54,Rubbing fabric,"When I rub fabric, I enjoy the feel of the texture and the sound it makes.",1
55,Twirling hair,Twirling a strand of hair between my fingers,1
56,Playing with putty,"When I feel overwhelmed or anxious, I tend to play with putty which helps me focus and calm down.",1
57,Squeezing stress ball,"When I feel anxious, I tend to squeeze a stress ball to release some of my tension.",0
58,Deep pressure,I use deep pressure as a stim by wrapping myself in a weighted blanket or squeezing myself between two pillows. It helps me feel more grounded and calm.,1
59,Finger tapping,Finger tapping is a stim where I rhythmically tap my fingers on a surface. It helps me regulate my emotions and is a way to focus my sensory input. It helps me filter out other stimulations that may be overwhelming.,0
60,Weighted blanket,I love using my weighted blanket because it feels like I'm being hugged. The pressure is really calming.,1
61,Swinging,"Swinging back and forth while standing or seated, often while holding onto something for support.",1
62,Stroking soft textures,Stroking soft textures gives me a feeling of comfort and helps me to calm down when I'm overwhelmed or anxious.,1
63,Deep breathing,"I practice using deep breathing as a stim. It involves taking long, slow breaths, and feeling the air move in and out of my lungs",1
64,Flapping hands,"When I am feeling overwhelmed or overstimulated, I tend to flap my hands up and down. It helps me to regulate my emotions and get a better hold on my body.",1
65,Using a fidget cube,I use a fidget cube to keep my hands occupied while being productive.,1
66,Holding a worry stone,Holding and rubbing a smooth worry stone,1
67,Weightlifting,Music helps me focus while lifting weights.,0
68,Aromatherapy,"When I use aromatherapy, I typically use essential oils and inhale deeply to smell them. It helps me relax and reduce stress.",1
69,Crinkling paper,I like to crinkle paper in my hand or under my feet. It gives me a lot of sensory satisfaction.,1
70,Using a worry bead,Using a worry bead to help me focus and ground myself,1
71,Rocking,Rocking helps me release nervous energy and calms me down,1
72,Pelvis grinding,"When I am overwhelmed or need to focus, I sometimes grind my pelvis against my chair or a pillow. It provides a calming sensation and helps me regulate my emotions.",1
73,Leaf tearing,Leaf tearing involves shredding pieces of paper or leaves with my fingers,1
74,Hand flapping,Hand flapping,1
75,Leg bouncing,I regularly bounce my leg up and down as a form of stimming.,1
76,Pencil tapping,"When I feel stimmy, I usually find myself tapping the end of my pencil with my fingers or shaking it so that it bounces off the table. It helps me focus and relieve tension in my body.",1
77,Hair twirling,"Hair twirling is a repetitive, rhythmic movement that involves twisting or pulling strands of hair. It is usually done with the fingers in a circular motion. ",1
78,Skin picking,"I tend to pick at my skin. It is usually when I'm anxious or stressed out, and it helps me to regulate my emotions.",2
79,Fidgeting with objects,"When I am excited, I like to fidget with objects such as pens or paperclips as it helps me regulate my emotions.",1
80,Button pressing,"When I feel overstimulated or overwhelmed, I tend to press buttons around me, like the ones on my keyboard or even on my microwave",1
81,Fidget spinning,I spin a fidget spinner on my finger. It helps me focus and relieve stress.,1
82,Chewing on objects,Chewing on objects serves a calming effect on me. It helps me release the stress and anxiety. It also helps me concentrate better in certain situations like in lectures or meetings.,2
83,Squeezing stress balls,"When I use stress balls, I usually squeeze them rhythmically while focusing on my breath and the sensation of the ball in my hand. It helps me calm down and release excess energy.",1
84,Tracing shapes on skin,Tracing shapes on skin,0
85,Flipping a coin,I flip a coin and follow its movement with my eyes,1
86,Breathing exercises,"I use breathing exercises to stim by controlling the pace, duration, and depth of my breaths.",1
87,Listening to white noise,I listen to white noise to stimulate my senses and relax myself during tough situations.,1
88,Folding and unfolding paper,I usually fold and unfold paper repeatedly to keep myself engaged,1
89,Tearing paper,I enjoy tearing paper into small pieces while playing with the little pieces that come out of it,1
90,Stroking a soft object,Stroking a soft object,1
91,Rubbing hands together,Rubbing hands together,1
92,Pressing fingertips,Pressing fingertips,1
93,Rubbing a soft fabric,Rubbing a soft fabric,1
94,Jumping on a trampoline,Jumping on a trampoline,1
95,Silicone fidget toys,I use silicone fidget toys as stimming mechanism,1
96,Listening to music,Listening to music,1
97,Fidgeting with a spinner ring,Fidgeting with a spinner ring,1
98,Rhythmic tapping,I usually tap my fingers or feet rhythmically when I am happy or excited. It helps me to focus and feel grounded.,1
99,Sensory brushes,"When I stim with sensory brushes, I brush them gently over my skin to create a calming sensation. It helps me relax and focus better when I am feeling anxious or overwhelmed.",1
100,Chewing jewelry,Chewing on jewelry helps me feel calmer and more focused,2
101,Headphones with noise-cancellation,I tend to rock back and forth while holding tightly onto the headphones,1
102,Stroking soft fabric,"I stroke soft fabric, it gives me comfort",1
103,Bouncing leg,"When I'm sitting, I often bounce my leg up and down in a rhythmic motion.",1
104,Popping bubble wrap,"I enjoy popping bubble wrap, especially when I'm feeling anxious or overwhelmed.",1
105,"Visual stimming (e.g., glitter bottles)",I enjoy looking at glitter in a bottle and watching it slowly settle down,1
106,Scented candles,I light scented candles and inhale their aroma while focusing on the flickering light,1
107,Origami,I love to create intricate paper artworks by folding them into various shapes and figures.,1
108,Running hands through kinetic sand,"When I hold kinetic sand, I love to run my hands through it and feel the texture between my fingers.",1
109,"Stress toys (e.g., squishy balls)",I use stress balls to stim by squeezing and releasing them,1
110,Fidget cube,I use a fidget cube which helps me to focus better and reduce my anxiety,1
111,Ripping paper,"When I experience stress or excitement, I like to rip paper into tiny pieces to deal with my emotions.",1
